Strategy,Range,Min_Connections,Max_Connections,Overall_Avg_Mean_%,Overall_Avg_Max_%,Overall_Avg_Min_%,Overall_Avg_Pages_Up,Overall_Avg_Pages_Down,Overall_Avg_Pages_Neutral,Num_Comparisons
random_batches,Range_5-35,5,35,1.2245770468241828,555.6006149639882,-85.99577877597281,1324.2,446.8,70.0,10
high_batches,Range_5-35,5,35,1.3234897989141168,546.084663786213,-85.99784010112012,1251.0,503.6,86.4,10
folder_batches,Range_5-35,5,35,1.314243066835608,546.1230673552143,-85.97985489194362,1342.6,443.4,55.0,10
mixed_batches,Range_5-35,5,35,1.391400518779597,546.0853306665729,-85.99807931690638,1228.7,527.3,85.0,10
low_batches,Range_5-35,5,35,1.3433013556285132,546.0878955195857,-85.99795787812778,1247.6,512.0,81.4,10
random_batches,Range_35-65,35,65,1.7834654427145746,555.2961803421034,-85.9934162562736,1438.4,381.7,20.9,10
high_batches,Range_35-65,35,65,1.879720807841371,545.7732647715823,-85.99551842378825,1442.7,381.4,16.9,10
folder_batches,Range_35-65,35,65,1.7307580709457395,497.31640625,-83.43445587158203,1400.4,413.1,27.5,10
mixed_batches,Range_35-65,35,65,1.8096325397491453,497.1754760742188,-83.45455169677734,1333.2,486.2,21.6,10
low_batches,Range_35-65,35,65,1.761465311050415,497.1758728027344,-83.45455932617188,1344.1,472.3,24.6,10
random_batches,Range_65-95,65,95,2.1937289237976074,502.5577697753906,-83.4521713256836,1458.9,368.0,14.1,10
high_batches,Range_65-95,65,95,2.2863364219665527,497.0462951660156,-83.4533462524414,1456.5,373.6,10.9,10
folder_batches,Range_65-95,65,95,2.277578592300415,497.1905822753906,-83.43317413330078,1480.8,346.8,13.4,10
mixed_batches,Range_65-95,65,95,2.356367826461792,497.0496520996094,-83.45326232910156,1446.6,383.9,10.5,10
low_batches,Range_65-95,65,95,2.3080668449401855,497.050048828125,-83.45327758789062,1452.2,376.7,12.1,10
