Comparison,Range,Min_Conn,Max_Conn,Mean_Delta_%,Max_Delta_%,Min_Delta_%,Std_Delta_%,Pages_Up,Pages_Down,Pages_Neutral,Total_Pages,Duration_m
240_low_updated_link_graph_6,Range_5-35,5,35,1.4205166059306396,546.0881060911046,-85.9980030925792,11.682266959470052,1227,534,80,1841,9.485712782541912
240_low_updated_link_graph_1,Range_5-35,5,35,1.3667790677646485,546.0854483672606,-85.99797877436656,11.383007302633832,1260,505,76,1841,9.249539931615194
240_low_updated_link_graph_3,Range_5-35,5,35,1.362972573269471,546.0859139146064,-85.99840611431253,11.414212703635666,1230,527,84,1841,9.394618133703867
240_low_updated_link_graph_10,Range_5-35,5,35,1.3555881329307333,546.0896366384745,-85.99813572204967,11.304008925385393,1242,516,83,1841,9.377496548493703
240_low_updated_link_graph_4,Range_5-35,5,35,1.3488429998800242,546.0882556649269,-85.99765317961953,11.304089914373598,1266,495,80,1841,9.202184855937958
240_low_updated_link_graph_8,Range_5-35,5,35,1.339421325317351,546.0884804033183,-85.99745422324206,11.274884205460888,1264,499,78,1841,9.47415920495987
240_low_updated_link_graph_2,Range_5-35,5,35,1.3317859853652956,546.0823513432915,-85.99763103449078,11.362858631426429,1248,514,79,1841,9.311951994895935
240_low_updated_link_graph_5,Range_5-35,5,35,1.3067482730836377,546.0893759488196,-85.9984502512957,11.283081300512176,1241,512,88,1841,9.28550451596578
240_low_updated_link_graph_9,Range_5-35,5,35,1.3006199496591135,546.0903840994982,-85.9979766711986,11.256892563214851,1241,516,84,1841,9.357391540209452
240_low_updated_link_graph_7,Range_5-35,5,35,1.2997386430842184,546.0910027245565,-85.99788971812312,11.251723130492566,1257,502,82,1841,9.554988594849904
